"STATIONNAME","STATIONARRONDISSEMENT","STATIONLATITUDE","STATIONLONGITUDE"
"Duke / Brennan","Ville-Marie",45.495581,-73.553711
"Parc Maurice Bélanger (Hebert / Forest)","Montréal-Nord",45.5880822,-73.6322231
"Métro du Collège (Cartier / Décarie)","Saint-Laurent",45.508439,-73.672965
"de Gaspé / St-Viateur","Le Plateau-Mont-Royal",45.527748,-73.597439
"Villeray / St-Michel","Villeray - Saint-Michel - Parc-Extension",45.561059,-73.603967
"Gauthier / de Lorimier","Le Plateau-Mont-Royal",45.531674,-73.565413
"Beaudet / Marcel-Laurin","Saint-Laurent",45.506843,-73.681757
"Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi)","Montréal-Nord",45.593985,-73.6376721
"Sainte-Catherine / Parthenais","Ville-Marie",45.5262351,-73.54895
"Northcliffe / Notre-Dame-de-Grâce","Côte-des-Neiges - Notre-Dame-de-Grâce",45.477802,-73.6150128
"Métro Cartier","Laval",45.56003,-73.681336
"Parc Villeray (Christophe-Colomb / Jarry)","Villeray - Saint-Michel - Parc-Extension",45.5480925,-73.624261
"Métro de la Savane (de Sorel / Bougainville)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.500451,-73.661428
"Ryde / Charlevoix","Le Sud-Ouest",45.475743,-73.564601
"Bélanger / des Galeries d'Anjou","Anjou",45.597221,-73.56279
"Champdoré / de Lorimier","Villeray - Saint-Michel - Parc-Extension",45.5668693,-73.6410168
"Liébert / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.595875,-73.523528
"Bel Air / St-Antoine","Le Sud-Ouest",45.482778,-73.584621
"Ottawa / William","Le Sud-Ouest",45.489727,-73.564063
"Ste-Claire / Pierre-Tétreault","Mercier - Hochelaga-Maisonneuve",45.6019133,-73.5244185
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",45.4452719,-73.6244836
"Parc Grovehill (St-Antoine / Ivan-Franko)","Lachine",45.4398238,-73.6948782
"de Lisieux / Jean-Talon","Saint-Léonard",45.579349,-73.581681
"du Souvenir / Chomedey","Laval",45.551886,-73.74444
"Parc LaSalle (10e avenue / Victoria)","Lachine",45.4380555,-73.6727393
"Parc Champdoré (Champdoré / de Lille)","Villeray - Saint-Michel - Parc-Extension",45.5691762,-73.6362934
"Mozart / Waverly","Rosemont - La Petite-Patrie",45.5315651,-73.6169464
"Péloquin / Fleury","Ahuntsic-Cartierville",45.5570222,-73.6599016
"Parc Ferland (Belleherbe / Albanel)","Saint-Léonard",45.595768,-73.5953039
"Marquette / Fleury","Ahuntsic-Cartierville",45.567352,-73.653787
"Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard)","Anjou",45.6027276,-73.5579303
"2e avenue /centrale","LaSalle",45.4328946,-73.5968569
"Cégep Marie-Victorin","Rivière-des-Prairies - Pointe-aux-Trembles",45.6174998,-73.6060113
"Wellington / 2e avenue","Verdun",45.4575911,-73.5675594
"St-Charles / Montarville","Longueuil",45.533682,-73.515261
"Wellington / Hickson","Verdun",45.4650577,-73.5667753
"Métro Laurier (Rivard / Laurier)","Le Plateau-Mont-Royal",45.527616,-73.589115
"Bishop / de Maisonneuve","Ville-Marie",45.4973855,-73.5779393
"de Mentana / St-Joseph","Le Plateau-Mont-Royal",45.529107,-73.584803
"Alton-Goldbloom / Notre-Dame","Laval",45.545026,-73.7378767
"Henri-Julien / Duluth","Le Plateau-Mont-Royal",45.5197013,-73.5766625
"St-Hubert / de Maisonneuve (sud)","Ville-Marie",45.5158684,-73.5600838
"St-Denis / Ste-Catherine","Ville-Marie",45.5137229,-73.5603105
"Complexe sportif Claude Robillard (Émile-Journault)","Ahuntsic-Cartierville",45.5529855,-73.6386477
"Wellington / Gordon","Verdun",45.4611038,-73.5672373
"CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville)","Ville-Marie",45.5140122,-73.5659867
"Parc Delorme (Malouin / Laferté)","Saint-Léonard",45.5904902,-73.5902694
"des Récollets / Martial","Montréal-Nord",45.590892,-73.640617
"Parc Henri-Dunant (Léger / Henri-Dunant)","Laval",45.5684396,-73.6752021
"Gare St-Michel / Montréal-Nord (Pie-IX / 56e)","Montréal-Nord",45.5831978,-73.629787
"Parc Beaulac (rue Élizabeth)","Saint-Laurent",45.5200557,-73.6779515
"Bossuet / Sherbrooke","Mercier - Hochelaga-Maisonneuve",45.576113,-73.5469437
"Parc Reine-Élizabeth (Penniston / Crawford)","Verdun",45.4391447,-73.5917366
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",45.6083582,-73.6385062
"St-Rémi / Ste Émilie","Le Sud-Ouest",45.4697664,-73.5892588
"des Ormeaux / de Grosbois","Mercier - Hochelaga-Maisonneuve",45.6059017,-73.5343695
"IUSMM (Georges-Villeneuve)","Mercier - Hochelaga-Maisonneuve",45.5865659,-73.5293725
"Parc Hébert (Colbert / Provencher)","Saint-Léonard",45.5723781,-73.5937046
"de Versailles / St-Jacques","Ville-Marie",45.4927744,-73.5688573
"Bélanger / St-Laurent","Rosemont - La Petite-Patrie",45.5331335,-73.6147285
"Parc Charleroi (Alfred / Louis-Francoeur)","Montréal-Nord",45.5995347,-73.6236025
"Laforest / Dudemaine","Ahuntsic-Cartierville",45.539806,-73.687266
"Parc du Mail (Bois de Coulonges / du Mail)","Anjou",45.598335,-73.5459673
"Métro de la Concorde (Léo-Lacombe)","Laval",45.5604899,-73.7091851
"Parc Marlborough (Beauzèle / Robichaud)","Saint-Laurent",45.5223415,-73.7216789
"Parc Noel-Nord (Toupin / Keller)","Saint-Laurent",45.5175831,-73.7266141
"Parc Garibaldi (Liénart / Bélanger)","Saint-Léonard",45.5864765,-73.5703969
"Parc Kirkland (des Érables / Boyer)","Lachine",45.4460609,-73.6507995
"19e avenue / St-Antoine","Lachine",45.4397787,-73.6813706
"Parc Highlands (Highlands / LaSalle)","LaSalle",45.426124,-73.657416
"Parc Summerlea (53e avenue / St-Joseph)","Lachine",45.4383671,-73.7154669
"Parc St-Claude (7e avenue / 8e rue)","Laval",45.562668,-73.692362
"Ste-Croix / Tassé","Saint-Laurent",45.519492,-73.685104
"Langelier / Marie-Victorin","Montréal-Nord",45.6145192,-73.6122447
"St-Joseph Lachine / 21e avenue","Lachine",45.4335212,-73.6835432
"St-Charles / Labonté","Longueuil",45.535266,-73.51398
"Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin)","Saint-Laurent",45.5068242,-73.681848
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",45.5839877,-73.6080933
"Parc Eusèbe-Ménard (Gouin / St-Vital)","Montréal-Nord",45.5925395,-73.6487482
"Duluth  / St-Denis","Le Plateau-Mont-Royal",45.5208024,-73.5757989
"University / des Pins","Ville-Marie",45.508203,-73.580112
"Bordeaux / Mont-Royal","Le Plateau-Mont-Royal",45.5345836,-73.5731596
"de Maisonneuve / Mansfield SE","Ville-Marie",45.5022935,-73.5733064
"Guy / Sainte-Catherine","Ville-Marie",45.4949751,-73.5777704
"Parc Jeanne-Mance (monument à sir George-Étienne Cartier)","Le Plateau-Mont-Royal",45.5148664,-73.5847586
"Métro Laurier (Berri / Laurier)","Le Plateau-Mont-Royal",45.5275891,-73.5890758
"Montmorency / Richardson","Le Sud-Ouest",45.4851133,-73.5604384
"Montcalm / de Maisonneuve","Ville-Marie",45.519139,-73.557866
"Square Viger (Berri / Viger)","Ville-Marie",45.5122121,-73.5546289
"de l'Hôtel-de-Ville / Villeneuve","Le Plateau-Mont-Royal",45.5234808,-73.5873276
"St-Laurent / St-Jacques","Ville-Marie",45.5064957,-73.556494
"Collège de Rosemont (15e avenue / Beaubien)","Rosemont - La Petite-Patrie",45.5577499,-73.5838012
"Ste-Catherine / Sanguinet","Ville-Marie",45.5128938,-73.5612479
"Dixie / 54e avenue","Lachine",45.4433803,-73.7178916
"Mozart / Casgrain","Rosemont - La Petite-Patrie",45.5347253,-73.6145206
"Stanley / Sherbrooke","Ville-Marie",45.501041,-73.577178
"Parc d'Antioche ( Place d'Antioche / St-Zotique)","Anjou",45.5953519,-73.5586762
"Eleanor / Ottawa","Le Sud-Ouest",45.4924627,-73.5607839
"Louis-Hémon / Villeray","Villeray - Saint-Michel - Parc-Extension",45.554961,-73.610737
"Sanguinet / Ontario","Ville-Marie",45.514767,-73.565491
"Alexis-Nihon / St-Louis","Saint-Laurent",45.5003388,-73.6826205
"Parc Turin (Chambord / Jean-Talon)","Villeray - Saint-Michel - Parc-Extension",45.5446806,-73.6101606
"Notre-Dame-de-Grâce / Décarie","Côte-des-Neiges - Notre-Dame-de-Grâce",45.477353,-73.615372
"St-Charles / St-Sylvestre","Longueuil",45.5363438,-73.5127777
"Parc Sauvé (Balzac / de Bayonne)","Montréal-Nord",45.5990861,-73.6369479
"Rachel / du Parc-Lafontaine","Le Plateau-Mont-Royal",45.5254474,-73.5742486
"Parc Joseph-Robin (18e avenue / Everett)","Villeray - Saint-Michel - Parc-Extension",45.5648113,-73.5958041
"Métro St-Laurent 2 ( de Maisonneuve / St-Laurent)","Ville-Marie",45.5107698,-73.5649373
"Hutchison / Van Horne","Le Plateau-Mont-Royal",45.524942,-73.610606
"Berri /Ste-Catherine","Ville-Marie",45.5146906,-73.5599014
"Place des Festivals ( du Président-Kennedy / de Bleury)","Ville-Marie",45.5076439,-73.569324
"St-Hubert / de Maisonneuve (nord)","Ville-Marie",45.5161321,-73.5604969
"d'Iberville / Fleury","Ahuntsic-Cartierville",45.5754318,-73.6474305
"Hochelaga / de l'Assomption","Mercier - Hochelaga-Maisonneuve",45.5668831,-73.5394382
"de Brébeuf / Gilford","Le Plateau-Mont-Royal",45.530952,-73.581585
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",45.5471031,-73.5489245
"Irene / St-Jacques","Le Sud-Ouest",45.480133,-73.5839313
"de la Roche / Marie-Anne","Le Plateau-Mont-Royal",45.52766,-73.576124
"2e avenue / Centrale","LaSalle",45.4328944,-73.5968529
"Métro Viau (Viau / Pierre-de-Coubertin)","Mercier - Hochelaga-Maisonneuve",45.5630842,-73.5481941
"Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont)","Rosemont - La Petite-Patrie",45.5520234,-73.5817184
"Ste-Catherine / Bishop","Ville-Marie",45.4966367,-73.5761287
"Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4962414,-73.6298387
"CHSLD Robert Cliche (de Bellechasse / 16e avenue)","Rosemont - La Petite-Patrie",45.557568,-73.579191
"Evans / Clark","Ville-Marie",45.5110837,-73.5679775
"de la Salle / Ontario","Mercier - Hochelaga-Maisonneuve",45.551862,-73.540228
"Métro Plamondon (Carlton / Victoria)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4953008,-73.6394939
"St-Mathieu / Baile","Ville-Marie",45.4928904,-73.5776126
"Dorion / Sherbrooke","Ville-Marie",45.5293521,-73.5633184
"Delisle / George-Vanier","Le Sud-Ouest",45.485974,-73.5728323
"de la Montagne / Sherbrooke","Ville-Marie",45.499745,-73.579034
"Soeurs-Grises / Margueritte d'Youville","Ville-Marie",45.4988464,-73.5546298
"Ste-Catherine / Parthenais","Ville-Marie",45.5262351,-73.54895
"Métro Cadillac (Cadillac / Sherbrooke)","Mercier - Hochelaga-Maisonneuve",45.5768333,-73.5464742
"St-Marc / Ste-Catherine","Ville-Marie",45.4928566,-73.5806543
"BAnQ (Berri)","Ville-Marie",45.5160139,-73.5629196
"Parc Nicolas-Tillemont (des Érables / Villeray)","Villeray - Saint-Michel - Parc-Extension",45.5546365,-73.6125522
"Parc Lalancette (de Rouen / Valois)","Mercier - Hochelaga-Maisonneuve",45.548145,-73.5471261
"Louisbourg / O'brien","Ahuntsic-Cartierville",45.5306042,-73.70377
"Darling / Sherbrooke","Rosemont - La Petite-Patrie",45.545328,-73.556352
"Parc Beaubien Outremont (Stuart / St-Viateur)","Outremont",45.5159697,-73.6082751
"Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault)","Saint-Laurent",45.5128433,-73.6761242
"René-Lévesque / Papineau","Ville-Marie",45.5209208,-73.5499048
"Gare Montpellier (Muir / de la Côte-Vertu)","Saint-Laurent",45.5237405,-73.6716992
"CHSLD Joseph-François-Perrault (St-Michel / Everett)","Villeray - Saint-Michel - Parc-Extension",45.5596973,-73.6014596
"de Bellechasse / Pie-IX","Rosemont - La Petite-Patrie",45.5612927,-73.5761133
"6e avenue / Villeray","Villeray - Saint-Michel - Parc-Extension",45.5587396,-73.6058904
"de Châteauguay / Ropery","Le Sud-Ouest",45.4793011,-73.5662945
"Préfontaine / Marcel-Pépin","Rosemont - La Petite-Patrie",45.5436538,-73.5594206
"Parc des Vétérans (des Vétérans / Broadway)","Montréal-Est",45.6315812,-73.5079604
"Parc Maurice-Bélanger (Hébert / Denommée)","Montréal-Nord",45.5877138,-73.6317182
"21e avenue / St-Joseph Lachine","Lachine",45.4335115,-73.6833906
"11e avenue / du Souvenir","Laval",45.5693391,-73.7047273
"41e avenue / Victoria","Lachine",45.440347,-73.7023133
"King / de la Commune","Ville-Marie",45.4975258,-73.5531865
"Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent)","Ville-Marie",45.5106881,-73.5653074
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",45.5281437,-73.6925454
"Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie)","Montréal-Est",45.6308738,-73.4950389
"Parc Chenier (de l'Aréna / Chenier)","Anjou",45.6024865,-73.5432905
"Notre-Dame / Guy","Le Sud-Ouest",45.4900138,-73.5672063
"Sainte-Catherine / Guy","Ville-Marie",45.4951965,-73.5778345
"Wolfe / Ste-Catherine","Ville-Marie",45.517944,-73.5565475
"Dépôt Festivals ( de Maisonneuve / St-Laurent)","Ville-Marie",45.5106881,-73.5653074
"Parc de Montréal-Est (Notre-Dame Est / David)","Montréal-Est",45.6126908,-73.5100499
"Mayfield / St-Martin O","Laval",45.5530175,-73.7582266
"de Chenonceau / Chomedey","Laval",45.56157,-73.75448
"Terminus Le Carrefour (Terry-Fox / Le Carrefour)","Laval",45.5684203,-73.7468728
"Pierre-Péladeau / du Centropolis","Laval",45.5625118,-73.7437065
"du Mans / des Alouettes","Laval",45.5803349,-73.6847187
"Centre récréatif Édouard-Rivet (Lesage / Notre-Dame)","Montréal-Est",45.6283593,-73.5000479
"McNamara / St-Martin O","Laval",45.5712036,-73.7235188
"Métro Beaudry ( Beaudry / Ste-Catherine)","Ville-Marie",45.5188484,-73.5559458
"Ste-Catherine / St-Mathieu","Ville-Marie",45.4938326,-73.5791422
"Parc Armand-Bombardier (Perras / Armand-Bombardier)","Rivière-des-Prairies - Pointe-aux-Trembles",45.6391233,-73.5961118
"de Grenoble / de Cassis","Laval",45.5788972,-73.7049271
"Le Corbusier / St-Martin O","Laval",45.5650067,-73.7319054
"Jeanne-Mance / St-Martin O","Laval",45.5574215,-73.7480604
"Parc Ernest-Rouleau (Gouin)","Rivière-des-Prairies - Pointe-aux-Trembles",45.6313127,-73.616315
"St-Mathieu / Tupper","Ville-Marie",45.4932782,-73.5782891
"Métro Beaudry ( Montcalm / Ste-Catherine)","Ville-Marie",45.5183846,-73.5563515
"Parc Honoré-Mercier (Notre-Dame / Liébert)","Mercier - Hochelaga-Maisonneuve",45.5927525,-73.5103563
"Parc Angrignon ( Lacroix / des Trinitaires)","Le Sud-Ouest",45.4464195,-73.6014273
"Métro Beaudry (Beaudry / Ste-Catherine)","Ville-Marie",45.5188845,-73.5559385
"Parc d'Antioche (Place d'Antioche / St-Zotique)","Anjou",45.595352,-73.55859
"de Mentana / Rachel","Le Plateau-Mont-Royal",45.524963,-73.575559
"Palm / St-Rémi","Le Sud-Ouest",45.470366,-73.589816
"Parc Outremont (Bloomfield / Elmwood)","Outremont",45.518309,-73.603286
"Ann / Ottawa","Le Sud-Ouest",45.4949697,-73.558042
"Clark / St-Zotique","Rosemont - La Petite-Patrie",45.531611,-73.6133498
"de Chateaubriand / Leman","Villeray - Saint-Michel - Parc-Extension",45.5472345,-73.6310256
"Parc Henri-Durant (Léger / Henri-Durant)","Laval",45.5684396,-73.6752021
"Parc Angrignon (Lacroix / des Trinitaires)","Le Sud-Ouest",45.4444694,-73.6026478
"Keller / Cousineau","Saint-Laurent",45.5235502,-73.7138857
"Square Nelligan (des Appalaches / Alexis-Nihon)","Saint-Laurent",45.5143182,-73.7079982
"Grenet / Poirier","Saint-Laurent",45.5187192,-73.698754
"Quentin Gouvier (Duluth  / St-Denis)","Le Plateau-Mont-Royal",45.5208024,-73.5757989
"Duluth / du Parc","Le Plateau-Mont-Royal",45.5137914,-73.5824025
"Dixie / 53e avenue","Lachine",45.4433506,-73.7169045
"Gare Lachine (Sir George Simpson / 48e avenue)","Lachine",45.4478213,-73.7109178
"René- Lévesque /Papineau","Ville-Marie",45.5209516,-73.5499866
"Ste-Catherine / Towers","Ville-Marie",45.4922807,-73.5809648
"Métro Pie-IX (Pierre-de-Coubertin / Desjardins)","Mercier - Hochelaga-Maisonneuve",45.5543734,-73.5513747
"Clark / Laurier","Le Plateau-Mont-Royal",45.5225445,-73.5934693
"Wellington / 3e avenue","Verdun",45.4573462,-73.5675752
"Cartier / Marie-Anne","Le Plateau-Mont-Royal",45.532674,-73.571776
"des Pins / St-Laurent","Le Plateau-Mont-Royal",45.5152281,-73.5750961
"Métro Mont-Royal (Pontiac / du Mont-Royal)","Le Plateau-Mont-Royal",45.5239839,-73.5830784
"St-Urbain / Prince-Arthur","Le Plateau-Mont-Royal",45.5126427,-73.5734332
"Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.496098,-73.621733
"Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.491513,-73.633649
"Peel / Notre-Dame","Ville-Marie",45.4954469,-73.5632944
"Milton / University","Le Plateau-Mont-Royal",45.5065198,-73.576405
"Place du Canada (Peel / des Canadiens-de-Montréal)","Ville-Marie",45.4978835,-73.5685676
"Richardson / Montmorency","Le Sud-Ouest",45.4849661,-73.5603225
"St-Antoine / Jean-Paul Riopelle","Ville-Marie",45.5029397,-73.5606404
"Métro Sherbrooke (de Rigaud / Berri)","Le Plateau-Mont-Royal",45.518292,-73.567971
"St-Denis / de Maisonneuve","Ville-Marie",45.514404,-73.561919
"Chabot / Mont-Royal","Le Plateau-Mont-Royal",45.5341344,-73.5735244
"St-André / Rachel","Le Plateau-Mont-Royal",45.5243532,-73.5759665
"Chambord / Gilford","Le Plateau-Mont-Royal",45.5314889,-73.5810614
"Mansfield / Cathcart","Ville-Marie",45.5007599,-73.5704827
"de Rouen / Hogan","Ville-Marie",45.5363626,-73.5542125
"Lanaudière / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.5454627,-73.6107802
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",45.5393536,-73.5953736
"Stanley / René-Lévesque","Ville-Marie",45.4979039,-73.5707757
"Henri-Julien / Laurier","Le Plateau-Mont-Royal",45.525843,-73.590399
"de la Commune / Queen","Ville-Marie",45.496842,-73.5528928
"Frontenac / Ste-Catherine","Ville-Marie",45.5300628,-73.5455918
"Jeanne-Mance / Prince-Arthur","Le Plateau-Mont-Royal",45.5111621,-73.5751444
"Garnier / Villeray","Villeray - Saint-Michel - Parc-Extension",45.54948,-73.6160547
"St-Laurent / Pl. du Marché","Ville-Marie",45.5092896,-73.562416
"Workman / Vinet","Le Sud-Ouest",45.4837889,-73.5750613
"Laurier / St-Denis","Le Plateau-Mont-Royal",45.5271484,-73.5894795
"Chabanel / Tolhurst","Ahuntsic-Cartierville",45.540105,-73.6534703
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5002518,-73.6617106
"Jeanne-Mance / Sherbrooke","Le Plateau-Mont-Royal",45.5092868,-73.5710192
"Plymouth / Duncan","Mont-Royal",45.5031653,-73.6622263
"Porte de Québec / St-André","Ville-Marie",45.5132941,-73.5505781
"Ste-Catherine / St-Clément","Mercier - Hochelaga-Maisonneuve",45.5567173,-73.5302496
"Belmont / Robert-Bourassa","Ville-Marie",45.501156,-73.56618
"de l'Hotel-de-Ville / Rachel","Le Plateau-Mont-Royal",45.5198966,-73.5801065
"de l'Hotel-de-Ville / Ontario","Ville-Marie",45.5137452,-73.5666633
"Métro St-Laurent ( de Maisonneuve / St-Laurent)","Ville-Marie",45.5107698,-73.5649373
"Fullum / Ste-Catherine","Ville-Marie",45.5271164,-73.5480165
"St-Grégoire / Christophe-Colomb","Le Plateau-Mont-Royal",45.5325974,-73.5901111
"St-Jacques / Vinet","Le Sud-Ouest",45.485329,-73.5769227
"Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont)","Rosemont - La Petite-Patrie",45.5515119,-73.5820779
"de Bordeaux / Sherbrooke","Ville-Marie",45.5299143,-73.5630262
"Du Quesne / de Marseille","Mercier - Hochelaga-Maisonneuve",45.5758124,-73.5412306
"Parc de Montréal-Est (Notre-Dame / David)","Montréal-Est",45.6131632,-73.5098936
"Laird / Glencoe","Mont-Royal",45.5061916,-73.642308
"Bennett / Ste-Catherine","Mercier - Hochelaga-Maisonneuve",45.553053,-73.532427
"René-Lévesque / Panet","Ville-Marie",45.5186242,-73.5521901
"Chambord / Beaubien","Rosemont - La Petite-Patrie",45.539932,-73.599343
"du Canal / McLaughlin","Lachine",45.4297026,-73.6694868
"Bloomfied / Elmwood","Outremont",45.5182559,-73.6032057
"Christophe Colomb / Gilford","Le Plateau-Mont-Royal",45.5297028,-73.5828853
"De Callières / d'Auvergne","Laval",45.593422,-73.6690217
"Maisonneuve / Wood","Westmount",45.4881979,-73.5880705
"Pierre-de-Coubertin / Aird","Mercier - Hochelaga-Maisonneuve",45.5590311,-73.5483035
"de la Côte-Ste-Catherine / Decelles","Côte-des-Neiges - Notre-Dame-de-Grâce",45.500941,-73.625637
"du Parc / François-Foucault","Laval",45.6057854,-73.66274
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",45.5577499,-73.5838012
"8e avenue / Dandurand","Rosemont - La Petite-Patrie",45.5501136,-73.5772218
"Parc St-Claude (8e rue / 7e avenue)","Laval",45.5622343,-73.6916762
"Parc de l'Hôtel-de-Ville (Ste-Julie / Laurendeau)","Montréal-Est",45.630686,-73.4948468
"Montcalm / Ontario","Ville-Marie",45.521081,-73.562275
"Ouimet / Goineau","Laval",45.5750482,-73.6879957
"Robert-Bourassa / St-Maurice","Ville-Marie",45.4983705,-73.5605559
"St-Antoine / 19e avenue","Lachine",45.439938,-73.6814623
"St-Sylvestre / St-Charles","Longueuil",45.5363238,-73.5122496
"Charles-Daoust / 75e avenue","Laval",45.5425059,-73.7409532
"90e Avenue / Boulevard Lévesque O","Laval",45.5312146,-73.747353
"Stationnement incitatif de Montarville (de Montarville)","Boucherville",45.6011636,-73.4499935
"Stationnement incitatif de Mortagne (Ampère)","Boucherville",45.5725173,-73.4431207
"St-Jacques / Guy","Le Sud-Ouest",45.4913669,-73.5701072
"Louisbourg / O'Brien","Ahuntsic-Cartierville",45.5303945,-73.7039322
"Mexico / Valois","Laval",45.5847051,-73.7192541
"Robert-Bourassa / René-Lévesque","Ville-Marie",45.5021829,-73.5682538
"Coloniale / Duluth","Le Plateau-Mont-Royal",45.5178687,-73.5784274
"des Soeurs-Grises / Marguerite d'Youville","Ville-Marie",45.4988464,-73.5546298
"Clark / de l'Arcade","Le Plateau-Mont-Royal",45.527372,-73.6039835
"Métro Mont-Royal (Berri / Mont-Royal)","Le Plateau-Mont-Royal",45.5250137,-73.5822093
"Robin / St-André","Ville-Marie",45.5181281,-73.5618514
"Notre-Dame / McGill","Ville-Marie",45.5000258,-73.5601931
"Sherbrooke / Jeanne-d'Arc","Rosemont - La Petite-Patrie",45.5539816,-73.5549639
"Bishop / de Maisonneuve S/E","Ville-Marie",45.4981321,-73.5776207
"de la Vérendrye / 75e avenue","LaSalle",45.4207055,-73.6296605
"McGill / Wellington","Ville-Marie",45.4994477,-73.5548991
"Crescent / de Maisonneuve N/E","Ville-Marie",45.4981204,-73.5775959
"Métro Mont-Royal (Utilités publiques / Rivard)","Le Plateau-Mont-Royal",45.5242361,-73.5815522
"Ste-Catherine / St-Denis","Ville-Marie",45.5138185,-73.5604459
"Gilford / Papineau","Le Plateau-Mont-Royal",45.5346097,-73.5780251
"Métro Papineau (Dorion / De Maisonneuve)","Ville-Marie",45.5238446,-73.552366
"St-Hubert / René-Levesque","Ville-Marie",45.5143692,-73.556487
"Chambord / St-Joseph","Le Plateau-Mont-Royal",45.5320638,-73.582263
"Masson / Molson","Rosemont - La Petite-Patrie",45.5443459,-73.5769769
"Jean-Talon / de l'Épée","Villeray - Saint-Michel - Parc-Extension",45.5274866,-73.6240625
"St-Rémi / Ste-Émilie","Le Sud-Ouest",45.469765,-73.5892341
"Métro Place Saint-Henri (St-Ferdinand / St-Jacques)","Le Sud-Ouest",45.4772809,-73.5873042
"Sewell / Roy","Le Plateau-Mont-Royal",45.5146774,-73.5765982
"Chabot / Laurier","Le Plateau-Mont-Royal",45.5368558,-73.5793731
"Parc Molson (d'Iberville / Beaubien)","Rosemont - La Petite-Patrie",45.5490223,-73.5919816
"de Maisonneuve / Mansfield (sud-est)","Ville-Marie",45.5022935,-73.5733064
"Parc Loyola (Doherty / Somerled)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4597611,-73.6447746
"6e Avenue / Bélanger","Rosemont - La Petite-Patrie",45.5545828,-73.5963191
"Molson / Wiliam-Tremblay","Rosemont - La Petite-Patrie",45.5416028,-73.5649607
"Duke / Nazareth","Ville-Marie",45.4957224,-73.5546134
"Notre-Dame  / St-Martin","Le Sud-Ouest",45.4883019,-73.5687178
"Garnier / Beaubien","Rosemont - La Petite-Patrie",45.5415102,-73.5984206
"de l'Hôtel-de-Ville / Viger","Ville-Marie",45.509557,-73.557407
"Ste-Catherine / St-Laurent","Ville-Marie",45.5098134,-73.5638952
"Cartier / Gillford","Le Plateau-Mont-Royal",45.535288,-73.5773814
"Théâtre du Vieux-Terrebonne (St-Pierre / des Braves)","Terrebonne",45.6922331,-73.6370313
"de Maisonneuve / Wood","Westmount",45.4881979,-73.5880705
"des Écores / Beaubien","Rosemont - La Petite-Patrie",45.5475364,-73.5926726
"Fairmount / Hutchison","Le Plateau-Mont-Royal",45.5196243,-73.598312
"CCI Outremont (Dollard / Ducharme)","Outremont",45.5200191,-73.6189073
"Plymouth / Chem.Eden","Mont-Royal",45.5064888,-73.6604789
"Clark / Evans","Ville-Marie",45.511007,-73.567602
"de Mortagne / Jean-Neveu","Boucherville",45.5692375,-73.449499
"Gare LaSalle (Highlands)","LaSalle",45.4256127,-73.6571358
"du Marché Central / Crémazie","Ahuntsic-Cartierville",45.5334174,-73.6488837
"Place Valois (Valois / Ontario)","Mercier - Hochelaga-Maisonneuve",45.5471414,-73.5433951
"Ellendale / de la Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",45.499757,-73.629298
"Métro Fabre (Garnier / Jean-Talon)","Rosemont - La Petite-Patrie",45.5460463,-73.608583
"Métro St-Laurent dépôt 2 (de Maisonneuve / St-Laurent)","Ville-Marie",45.5107097,-73.5653543
"du Fort Saint-Louis / de la Perrière","Boucherville",45.6133301,-73.4515402
"Boyer / St-Joseph","Le Plateau-Mont-Royal",45.5295423,-73.5846072
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",45.5666403,-73.5715958
"de l'hôtel de Ville / Viger N/E","Ville-Marie",45.509557,-73.557407
