"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
47,"10",30,"Saturday",1,0,639.5,11.6272727272727,NA,11,33,55,8.2,11.6
47,"11",3,"Wednesday",0,0,149.266666666667,9.95111111111111,41.14,4,10,15,2.2,0
47,"11",4,"Thursday",1,0,883.083333333333,13.3800505050505,NA,16,41,66,1.3,0.2
47,"11",10,"Wednesday",0,0,243.383333333333,10.1409722222222,66.5075,3,12,24,6,0
60,"9",17,"Friday",1,0,476.65,12.8824324324324,NA,5,25,37,19.8,0
60,"9",21,"Tuesday",0,0,56.6833333333333,14.1708333333333,13.5025,2,1,4,20.2,0
60,"10",6,"Wednesday",1,0,223.4,11.7578947368421,NA,7,10,19,14.3,0
65,"5",6,"Thursday",0,0,21.05,21.05,4.4075,1,0,1,10.2,0
65,"5",16,"Sunday",0,0,8.43333333333333,8.43333333333333,2.515,0,0,1,15.8,0.3
65,"5",22,"Saturday",1,0,123.766666666667,13.7518518518519,NA,2,6,9,23.6,0.3
65,"5",27,"Thursday",1,0,249.083333333333,20.7569444444444,NA,7,5,12,11.5,0
65,"6",8,"Tuesday",0,0,29.1333333333333,14.5666666666667,6.87,2,0,2,26.3,0
65,"6",27,"Sunday",0,0,1.25,1.25,1.4375,1,0,1,26.9,0
65,"6",28,"Monday",1,0,174.833333333333,15.8939393939394,NA,2,7,11,27,2.3
65,"7",9,"Friday",0,0,60.9666666666667,15.2416666666667,14.145,1,3,4,18.1,0
65,"7",24,"Saturday",1,0,72.95,14.59,NA,2,2,5,21.9,0.6
65,"8",7,"Saturday",1,0,110.683333333333,13.8354166666667,NA,3,3,8,23.6,0.8
65,"9",21,"Tuesday",1,0,307.483333333333,17.0824074074074,NA,5,12,18,20.2,0
65,"10",22,"Friday",0,0,11.7333333333333,5.86666666666667,4.26,1,1,2,8.7,13.8
65,"10",25,"Monday",0,0,11.55,5.775,4.2325,2,0,2,6.5,0.5
75,"4",9,"Friday",1,0,288.416666666667,32.0462962962963,NA,0,9,9,15.9,0
75,"4",11,"Sunday",0,0,968.866666666667,33.4091954022988,181.58,1,28,29,12.5,0
75,"4",16,"Friday",0,0,43.2666666666667,43.2666666666667,7.74,0,1,1,6,7.7
75,"4",19,"Monday",1,0,408.716666666667,31.4397435897436,NA,2,11,13,12.3,0
75,"4",26,"Monday",1,0,130.383333333333,26.0766666666667,NA,0,3,5,4.9,0
75,"5",20,"Thursday",0,0,130.55,43.5166666666667,23.3325,0,3,3,23.4,0
75,"5",23,"Sunday",1,0,881.016666666667,35.2406666666667,NA,1,21,25,15.8,0.5
75,"6",4,"Friday",1,0,400.683333333333,30.8217948717949,NA,2,9,13,22,0
75,"6",17,"Thursday",1,0,559,25.4090909090909,NA,7,12,22,18.2,0
75,"7",2,"Friday",0,0,50.6666666666667,50.6666666666667,8.85,1,0,1,17.6,0
76,"4",17,"Saturday",0,0,95.65,47.825,16.8475,0,2,2,6.8,0
76,"5",14,"Friday",1,0,448.516666666667,32.0369047619048,NA,2,10,14,17.8,0
76,"5",16,"Sunday",1,0,571.383333333333,28.5691666666667,NA,4,16,20,15.8,0.3
76,"5",30,"Sunday",0,0,156.066666666667,39.0166666666667,28.41,0,4,4,13.6,0.9
76,"6",18,"Friday",0,0,115.983333333333,19.3305555555556,24.8975,0,1,6,21.2,4.8
76,"7",1,"Thursday",1,1,263.583333333333,32.9479166666667,NA,3,4,8,20.6,0
76,"8",1,"Sunday",0,0,243.433333333333,48.6866666666667,42.765,0,5,5,16.9,0
76,"8",2,"Monday",1,0,199.45,33.2416666666667,NA,4,1,6,18.8,0
76,"8",20,"Friday",0,0,55.5333333333333,55.5333333333333,9.58,1,0,1,25.9,0
76,"9",2,"Thursday",1,0,46.05,23.025,NA,0,2,2,15.6,0
76,"9",22,"Wednesday",0,0,48.95,24.475,9.8425,0,2,2,20.8,0.2
