"","name","latitude","longitude","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain","arrond","rain_bin","wkend","superficie","population_2021","density"
"85","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","21","Thursday","0",0,16.3666666666667,16.3666666666667,3.705,0,1,1,11.7,5.8,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333
"86","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","25","Monday","1",0,173.133333333333,11.5422222222222,NA,7,6,15,6.5,0.5,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333
"87","16e avenue / Jean-Talon",45.56244,-73.595333,487,"11","12","Friday","1",0,65.3,16.325,NA,0,2,4,7.7,20.4,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333
"88","16e avenue / Jean-Talon",45.56244,-73.595333,487,"11","14","Sunday","1",0,102.9,12.8625,NA,3,5,8,4.1,3,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333
"89","16e avenue / St-Joseph",45.55287,-73.565631,100,"4","12","Monday","1",0,223.166666666667,15.9404761904762,NA,5,9,14,12.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"90","16e avenue / St-Joseph",45.55287,-73.565631,100,"4","23","Friday","1",0,179.1,16.2818181818182,NA,4,6,11,8.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"91","16e avenue / St-Joseph",45.55287,-73.565631,100,"5","8","Saturday","1",0,459.933333333333,20.9060606060606,NA,8,13,22,11.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"92","16e avenue / St-Joseph",45.55287,-73.565631,100,"5","12","Wednesday","0",0,49.9333333333333,24.9666666666667,9.99,0,2,2,12,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"93","16e avenue / St-Joseph",45.55287,-73.565631,100,"7","28","Wednesday","0",0,45.7166666666667,9.14333333333333,13.1075,1,2,5,19.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"94","16e avenue / St-Joseph",45.55287,-73.565631,100,"8","5","Thursday","0",0,10.7333333333333,10.7333333333333,2.86,0,1,1,22.1,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"95","16e avenue / St-Joseph",45.55287,-73.565631,100,"8","9","Monday","1",0,359.6,12.8428571428571,NA,10,11,28,25.2,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"96","16e avenue / St-Joseph",45.55287,-73.565631,100,"8","17","Tuesday","1",0,429.183333333333,13.4119791666667,NA,13,15,32,21.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"97","16e avenue / St-Joseph",45.55287,-73.565631,100,"8","20","Friday","0",0,43,10.75,11.45,1,1,4,25.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"98","16e avenue / St-Joseph",45.55287,-73.565631,100,"9","2","Thursday","0",0,73.5333333333333,12.2555555555556,18.53,3,2,6,15.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"99","16e avenue / St-Joseph",45.55287,-73.565631,100,"9","9","Thursday","1",0,325.283333333333,12.5108974358974,NA,7,13,26,19.5,1.6,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"100","16e avenue / St-Joseph",45.55287,-73.565631,100,"9","16","Thursday","0",0,98.5166666666667,16.4194444444444,22.2775,3,3,6,16.9,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"101","16e avenue / St-Joseph",45.55287,-73.565631,100,"9","29","Wednesday","1",0,508.466666666667,15.8895833333333,NA,13,17,32,11.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"102","16e avenue / St-Joseph",45.55287,-73.565631,100,"10","29","Friday","0",0,125.65,17.95,27.5975,1,3,7,7.8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"103","18e avenue / Rosemont",45.557896,-73.576529,601,"4","11","Sunday","1",0,161.6,20.2,NA,1,7,8,12.5,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"104","18e avenue / Rosemont",45.557896,-73.576529,601,"4","27","Tuesday","1",0,276.066666666667,13.8033333333333,NA,5,15,20,8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"105","18e avenue / Rosemont",45.557896,-73.576529,601,"5","3","Monday","1",0,324,18,NA,6,12,18,7.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"106","18e avenue / Rosemont",45.557896,-73.576529,601,"5","9","Sunday","1",0,457.266666666667,16.3309523809524,NA,2,24,28,11.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"107","18e avenue / Rosemont",45.557896,-73.576529,601,"5","26","Wednesday","0",0,61,15.25,14.15,1,3,4,24,0.4,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"108","18e avenue / Rosemont",45.557896,-73.576529,601,"6","4","Friday","0",0,21.6166666666667,10.8083333333333,5.7425,0,1,2,22,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"109","18e avenue / Rosemont",45.557896,-73.576529,601,"6","7","Monday","0",0,140.95,15.6611111111111,32.3925,0,5,9,27.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"110","18e avenue / Rosemont",45.557896,-73.576529,601,"6","25","Friday","0",0,73.7166666666667,18.4291666666667,16.0575,3,1,4,22.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"111","18e avenue / Rosemont",45.557896,-73.576529,601,"6","27","Sunday","1",0,383.666666666667,17.4393939393939,NA,9,11,22,26.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"112","18e avenue / Rosemont",45.557896,-73.576529,601,"7","10","Saturday","1",0,679.4,16.985,NA,7,16,40,19,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"113","18e avenue / Rosemont",45.557896,-73.576529,601,"7","16","Friday","1",0,567.3,17.1909090909091,NA,11,16,33,22,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"114","18e avenue / Rosemont",45.557896,-73.576529,601,"7","19","Monday","0",0,121.266666666667,24.2533333333333,24.44,1,2,5,23.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"115","18e avenue / Rosemont",45.557896,-73.576529,601,"7","30","Friday","0",0,107.35,21.47,22.3525,1,4,5,16.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"116","18e avenue / Rosemont",45.557896,-73.576529,601,"8","10","Tuesday","1",0,889.566666666667,18.5326388888889,NA,15,19,48,26.5,10.4,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"117","18e avenue / Rosemont",45.557896,-73.576529,601,"8","20","Friday","0",0,203.566666666667,22.6185185185185,41.785,2,6,9,25.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"118","18e avenue / Rosemont",45.557896,-73.576529,601,"9","4","Saturday","0",0,83.8666666666667,11.9809523809524,21.33,1,2,7,19,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"119","18e avenue / Rosemont",45.557896,-73.576529,601,"9","5","Sunday","0",0,51.85,12.9625,12.7775,2,0,4,19.5,13.6,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"120","18e avenue / Rosemont",45.557896,-73.576529,601,"9","7","Tuesday","1",0,709.816666666667,16.132196969697,NA,11,27,44,17.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"121","18e avenue / Rosemont",45.557896,-73.576529,601,"9","16","Thursday","0",0,69.8,17.45,15.47,0,4,4,16.9,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"122","18e avenue / Rosemont",45.557896,-73.576529,601,"10","15","Friday","1",0,594.716666666667,12.3899305555556,NA,18,24,48,18.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"123","19e avenue / Saint-Antoine",45.4397787,-73.6813706,1051,"7","30","Friday","1",0,2.75,2.75,NA,0,1,1,16.5,0,"Lachine",0,0,17.7,46428,2623.05084745763
"124","19e avenue / Saint-Antoine",45.4397787,-73.6813706,1051,"9","17","Friday","1",0,43.1833333333333,43.1833333333333,NA,1,0,1,19.8,0,"Lachine",0,0,17.7,46428,2623.05084745763
"125","19e avenue / Saint-Antoine",45.4397787,-73.6813706,1051,"9","26","Sunday","0",0,47.0666666666667,47.0666666666667,8.31,0,1,1,16.7,0,"Lachine",0,1,17.7,46428,2623.05084745763
"126","19e avenue / St-Zotique",45.561594,-73.585643,635,"5","1","Saturday","1",0,337.966666666667,16.0936507936508,NA,5,15,21,5.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
