OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
5271,,,33e Av. / Cn,1005-000,0.2996872476906067,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
5272,Place,,Iona-Monahan,1292-000,0.10438331379543886,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Place publique
5273,Place,,Antonino-Spada,2871-014,0.10105060277536859,Ville de Montréal,Saint-Léonard,Arrondissement,Parc d'arrondissement,Parc de voisinage
5274,Parc,,Dickie-Moore,1220-000,0.4159794352569305,Ville de Montréal,Villeray-Saint-Michel-Parc-Extension,Arrondissement,Parc d'arrondissement,Parc de quartier
5275,Parc,,Hector-Charland,0583-000,0.029982239813133117,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Îlot de verdure
5276,Place,,Jean-Paul-Riopelle,1208-000,0.30122297955409155,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
5277,,,Arthur-Généreux / Jovette-Bernier,1123-000,0.26561634446578497,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
5278,Parc,,Robert-Sauvé,2357-000,0.6842755809831392,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,Parc d'arrondissement,Parc de quartier
5279,Parc,,Versailles,0695-000,0.33568975265383355,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
5280,,,Glandelet,2865-000,0.4089315151229383,Ville de Montréal,Saint-Léonard,Arrondissement,Parc d'arrondissement,Parc de voisinage
5281,Parc,,Duquette,2903-000,0.5358741821262805,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
5282,Parc,,Coronation,2897-000,0.5400516041422627,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
5283,,,,,0.009099151400062299,,,,En cours de validation,
5284,,,,,0.029364728049914766,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
5285,,,,,0.01592198613881507,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
5286,Parc,,Sammy-Hill,0259-000,0.3334928017949994,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5287,Parc,de,Verdelles,2015-000,0.5840060119136743,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5288,Parc,,Mullins / Richmond,0719-000,0.1157735390380869,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5289,,,Canning,0620-045,0.030464547404618725,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5290,,,Frank-Selke / Charon,1110-000,0.19250130553714193,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5291,,,Charlevoix / Notre-Dame,1013-000,0.046256249559406264,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
5292,Parc,,Wilfrid-Vincent,2424-000,0.11079997534958602,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de voisinage
5293,,,Tunnel Saint-Rémi,0347-002,0.23672692483578586,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Parc écran
5294,Des,,Jésuites,1641-089,0.005531803999545802,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Espace voirie,Îlot de voirie
5295,Parc,d',Antioche,2017-000,0.7682030006934789,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de voisinage
5296,Parc,de,Peterborough,2011-000,1.3293648127255677,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5297,Parc,du,Fort-Des Ormeaux,2007-000,0.4555735895469622,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de voisinage
5298,,,Jacques-Rousseau,1641-017,0.017400995399877658,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Espace voirie,Îlot de voirie
5299,,,Élie-Blanchard / Olivar-Asselin,0570-000,0.06478353966378829,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Îlot de verdure
5300,Parc,,Goncourt,2009-000,3.931475184130205,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5301,Boisé,,Saint-Conrad,2000-000,0.2069918917765941,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5302,,,Laurin,0410-007,0.054807559919056774,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Place publique
5303,,,,,0.08849018254740343,,,,En cours de validation,
5304,,,,,0.10774383839883672,,,,En cours de validation,
5305,Parc,,Gadbois,0167-000,4.471319403293986,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5306,Parc,,Daisy-Peterson-Sweeney,1096-000,0.5961386083289059,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5307,Promenade,du,Rail,2417-000,0.17907371865554506,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc linéaire
5308,Parc,,Pelletier,2416-000,0.07487120171040372,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Place publique
5309,Parc,,Herb-Trawick,0316-000,1.0677043225136549,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5310,,,Laurendeau / Émard,1641-352,0.020258989398884018,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
5311,Parc,l',Archevêque,2810-000,0.4308738152530811,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de voisinage
5312,,,Saint-Antoine,1641-317,0.1539085489783106,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5313,,,Saint-Antoine,1641-317,0.1436141385858285,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5314,,,Frédéric-Back - Complexe de Soccer,0950-440,3.723221754210898,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Municipale,Autre espace vert,Espace sportif
5315,,,Saint-Antoine,1641-317,0.07100837170641743,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5316,Parc,de,Talcy,2014-000,1.5786051857345207,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5317,Parc,de,Talcy,2014-000,0.16713917075776025,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5318,Parc,de,Talcy,2014-000,0.20741316607062632,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5319,Parc-école primaire,,Nouvelle-Querbes,,0.3885607702025538,Commission scolaire,Outremont,Arrondissement,Parc d'arrondissement,Parc école
5320,Parc-école,,Guy-Drummond,,0.5860768865033821,Commission scolaire,Outremont,Arrondissement,Parc d'arrondissement,Parc école
5321,Parc,,Ludger-Beauregard,2627-000,0.09681570870997828,Ville de Montréal,Outremont,Arrondissement,Parc d'arrondissement,Îlot de verdure
5322,,,Saint-Antoine,1641-317,0.05986946970639836,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Espace vert
5323,,,Atwater / Saint-Patrick,1054-001,0.13387701429528442,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
