OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
257,003-0517,,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
258,004-0462,,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
259,012-0065,,Aire d'entraînement pour adultes,Ville-Marie,Loisirs et détente
260,054-0024,,Ping-pong,Ville-Marie,Loisirs et détente
261,089-0065,,Volleyball de plage,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
262,003-0518,1029-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
263,012-0066,,Aire d'entraînement pour adultes,Ville-Marie,Loisirs et détente
264,054-0025,0401-000,Ping-pong,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
265,009-0076,0401-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
266,053-0094,0401-000,Patinoire sans bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
267,042-0163,0302-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
268,075-0097,0950-001,Soccer à 4-5,Villeray-Saint-Michel-Parc-Extension,Sportif
269,076-0076,2895-000,Soccer à 7,Verdun,Sportif
270,071-0036,2723-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
271,073-0081-76-S1,0964-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
272,073-0081-76-S2,0964-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
273,073-0081,0964-000,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
274,065-0018,0058-000,Patinoire 4 saisons,Mercier-Hochelaga-Maisonneuve,Récréatif
275,042-0164,0186-000,Jeux d'eau,Mercier-Hochelaga-Maisonneuve,Récréatif
276,042-0165,0058-000,Jeux d'eau,Mercier-Hochelaga-Maisonneuve,Récréatif
277,009-0077,0058-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
278,009-0078,0780-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
279,003-0156,0943-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
280,012-0025,0703-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
281,042-0166,2601-000,Jeux d'eau,Outremont,Récréatif
282,097-0006,0075-000,Fontaine,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
283,095-0112,0495-000,Pétanque,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
284,004-0464,0101-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
285,066-0004,0101-000,Rugby / Soccer à 11,Mercier-Hochelaga-Maisonneuve,Sportif
286,009-0079,1266-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
287,012-0067,0106-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
288,001-0023,2011-000,Abri soleil,Anjou,Plein air
289,001-0021,0115-000,Abri soleil,Mercier-Hochelaga-Maisonneuve,Plein air
290,001-0034,,Abri soleil,Mercier-Hochelaga-Maisonneuve,Plein air
